Halfling,    .8,  -2,  +3,  +1,  0,
Fighter, 1.3, +3,  -1,  -3,  0,
Rogue,   1,   0,   +2,  0,   1,
Archer,  1,  +2,  +2,  -2,   2,
Assasin, .8,  -2, +4,  0,   3,
Bard,    .9,  -2,  +2,  +3,  4,




Goblin,      1,   -2,  +3,  -1,  1,
Archer,  1,  +2,  +2,  -2,   0,
Fighter, 1.3, +3,  -1,  -3,  1,
Fighter, 1.3, +3,  -1,  -3,  2,
Wizard,  .6,  -2,  +2,  +6,  3,
Rider,   1.1, +3,  0,   -2,  4,




Lizardman,    1.2, +2,  0,   0,   2,
Archer,  1,   +2,  +2,  -2,   0,
Archer,  1,   +2,  +2,  -2,   1,
Fighter, 1.3, +3,  -1,  -3,  2,
Fighter, 1.3, +3,  -1,  -3,  3,
Brute,   1.5, +2,  -2,  -3,  4,

