Monster,    10,  +1,  +1,  0,    0,
Orb,        8,   -1,  +1,  +3,   0,
Eye,        10,  0,   0,   +2,   1,
Ghoul,      12,  +2,  +2,  -2,   2,
Demon,      10,  0,   0,   +2,   3,
F.Demon,    12,  +2,  -1,  -1,   4,




Giant,      13,  +3,  -2, -2,  1,
Troll,      12,  +2,  0,  -2,  0,
Stone,      12,  +2,  0,  -2,  1,
Cyclops,    12,  +2,  0,  -2,  2,
Ogre,       12,  +2,  0,  -2,  3,
Ettin,      12,  +2,  0,  -2,  4,




Mystic,     10,     0,      0,      +2,     2,
G.Flame,    10,     -2,     +2,     +2,     0,
Shroom,     10,     +2,     0,      0,      1,
Mushroom,   13,     +3,     -1,     -3,     2,
Slime,      13,     +1,     +1,     -3,     3,
G.Slime,    15,     +2,     -2,     -3,     4,
