Halfling,    8,  -2,  +3,  +1,  0,
Fighter, 13, +3,  -1,  -3,  0,
Rogue,   10,   0,   +2,  0,   1,
Archer,  10,  +2,  +2,  -2,   2,
Assasin, 8,  -2, +4,  0,   3,
Bard,    9,  -2,  +2,  +3,  4,




Goblin,      10,   -2,  +3,  -1,  1,
Archer,  10,  +2,  +2,  -2,   0,
Fighter, 13, +3,  -1,  -3,  1,
Fighter, 13, +3,  -1,  -3,  2,
Wizard,  6,  -2,  +2,  +6,  3,
Rider,   11, +3,  0,   -2,  4,




Lizardman,    12, +2,  0,   0,   2,
Archer,  10,   +2,  +2,  -2,   0,
Archer,  10,   +2,  +2,  -2,   1,
Fighter, 13, +3,  -1,  -3,  2,
Fighter, 13, +3,  -1,  -3,  3,
Brute,   15, +2,  -2,  -3,  4,

